kod_ebssa;departamant;bro_brezhoneg;bro_galleg;dpke_brezhoneg;dpke_galleg;kumun_brezhoneg;kumun_galleg;skol-vamm;skol-gentañ;skolaj;lise;hollad
code_insee;departement;pays_breton;pays_francais;epci_breton;epci_francais;commune_breton;commune_francais;maternelle;elementaire;college;lycee;total
22189;22;Bro Gwengamp;Pays de Guingamp;Gwengamp-Pempoull Arvor-Argoad Tolpad-kêrioù;Guingamp-Paimpol Armor-Argoat Agglomération;Plijidi;Plésidy;0;0;190;0;190
22194;22;Bro Dreger;Pays du Trégor;Lannuon-Treger Kumuniezh;Lannion-Trégor Communauté;Plistin;Plestin-les-Grèves;37;34;0;0;71
22211;22;Bro Dreger;Pays du Trégor;Lannuon-Treger Kumuniezh;Lannion-Trégor Communauté;Ploubêr;Ploubezre;17;15;0;0;32
22214;22;Bro Gwengamp;Pays de Guingamp;Gwengamp-Pempoull Arvor-Argoad Tolpad-kêrioù;Guingamp-Paimpol Armor-Argoat Agglomération;Ploueg-ar-Mor;Plouézec;21;28;0;0;49
22222;22;Bro Gwengamp;Pays de Guingamp;Leñv Arvor Kumuniezh;Leff Armor Communauté;Plouha;Plouha;26;31;6;0;63
22228;22;Bro Dreger;Pays du Trégor;Lannuon-Treger Kumuniezh;Lannion-Trégor Communauté;Plounevez-Moedeg;Plounévez-Moëdec;20;27;0;0;47
22225;22;Bro Gwengamp;Pays de Guingamp;Gwengamp-Pempoull Arvor-Argoad Tolpad-kêrioù;Guingamp-Paimpol Armor-Argoat Agglomération;Plouvagor;Ploumagoar;23;26;0;0;49
22254;22;Bro Dreger;Pays du Trégor;Lannuon-Treger Kumuniezh;Lannion-Trégor Communauté;Prad;Prat;8;2;0;0;10
22265;22;Bro Dreger;Pays du Trégor;Lannuon-Treger Kumuniezh;Lannion-Trégor Communauté;Rospezh;Rospez;12;19;0;0;31
22266;22;Bro Kornôg-Kreiz-Breizh;Pays du Centre-Ouest-Bretagne;KK Kreiz-Breizh;CC du Kreiz-Breizh;Rostrenenn;Rostrenen;36;56;28;0;120
22278;22;Bro Sant-Brieg;Pays de Saint-Brieuc;Sant-Brieg Arvor Tolpad-kêrioù;Saint-Brieuc Armor Agglomération;Sant-Brieg;Saint-Brieuc ;79;100;5;0;184
22353;22;Bro Dreger;Pays du Trégor;Lannuon-Treger Kumuniezh;Lannion-Trégor Communauté;Tregastell;Trégastel ;19;18;0;0;37
22376;22;Bro Kreiz-Breizh;Pays du Centre-Bretagne;Loudieg Kumuniezh - Kreiz Breizh;Loudéac Communauté - Bretagne Centre;Treve;Trévé;14;2;0;0;16
29004;29;Bro Gerne;Pays de Cornouaille;Kemperle Kumuniezh;Quimperlé Communauté;Banaleg;Bannalec ;57;74;0;0;131
29019;29;Bro Brest;Pays de Brest;Brest Meurgêr;Brest Métropole;Brest;Brest;364;389;75;37;865
29020;29;Bro Gerne;Pays de Cornouaille;Kemper Breizh-Izel;Quimper Bretagne Occidentale;Brieg;Briec;53;64;36;0;153
29043;29;Bro Brest;Pays de Brest;KTK bro Landerne Daoulaz;CA du Pays de Landerneau Daoulas;Daoulaz;Daoulas ;23;0;0;0;23
29046;29;Bro Gerne;Pays de Cornouaille;Douarnenez Kumuniezh;Douarnenez Communauté;Douarnenez;Douarnenez;31;56;17;0;104
29049;29;Bro Gerne;Pays de Cornouaille;Konk-Kerne Tolpad-kêrioù;Concarneau Cornouaille Agglomération;Eliant;Elliant;24;31;0;0;55
29051;29;Bro Gerne;Pays de Cornouaille;Kemper Breizh-Izel;Quimper Bretagne Occidentale;Erge-Vras (an);Ergué-Gabéric;33;86;0;0;119
29053;29;Bro Brest;Pays de Brest;KK Gourenez Kraozon-Arvor ar Stêr-Aon;CC Presqu'île de Crozon-Aulne Maritime;Faou (ar);Faou (le);17;30;0;0;47
29058;29;Bro Gerne;Pays de Cornouaille;KK bro Fouenant;CC du Pays Fouesnantais;Fouenant;Fouesnant;39;57;0;0;96
29061;29;Bro Brest;Pays de Brest;Brest Meurgêr;Brest Métropole;Gouenoù;Gouesnou;29;45;0;0;74
29067;29;Bro Montroulez;Pays de Morlaix;Montroulez Kumuniezh;Morlaix Communauté;Gwerliskin ;Guerlesquin;9;4;0;0;13
29069;29;Bro Brest;Pays de Brest;Brest Meurgêr;Brest Métropole;Gwiler-Leon;Guilers;52;51;0;0;103
29075;29;Bro Brest;Pays de Brest;Brest Meurgêr;Brest Métropole;Gwipavaz;Guipavas;41;63;26;0;130
29077;29;Bro Brest;Pays de Brest;Kumuniezh Lesneven Aod ar Mojennoù;Communauté Lesneven Côte des Légendes;Gwiseni;Guissény;22;19;91;0;132
29178;29;Bro Brest;Pays de Brest;KK bro an Hirwazh;CC du Pays d'Iroise;Gwitalmeze;Ploudalmézeau;27;65;0;0;92
29024;29;Bro Kornôg-Kreiz-Breizh;Pays du Centre-Ouest-Bretagne;Poc’hêr kumuniezh;Poher Communauté;Karaez-Plougêr;Carhaix-Plouguer;64;97;22;224;407
29026;29;Bro Brest;Pays de Brest;KK Pleiben-Kastellin-Porzhe;CC Pleyben-Châteaulin-Porzay;Kastellin;Châteaulin;13;13;0;0;26
29027;29;Bro Kornôg-Kreiz-Breizh;Pays du Centre-Ouest-Bretagne;KK Kerne-Uhel;CC de Haute Cornouaille;Kastell-Nevez-ar-Faou;Châteauneuf-du-Faou ;24;30;10;0;64
29259;29;Bro Montroulez;Pays de Morlaix;Gorre-Leon Kumuniezh;CC Haut-Léon Communauté;Kastell-Paol;Saint-Pol-de-Léon;29;36;30;0;95
29232;29;Bro Gerne;Pays de Cornouaille;Kemper Breizh-Izel;Quimper Bretagne Occidentale;Kemper;Quimper;214;251;268;22;755
29233;29;Bro Gerne;Pays de Cornouaille;Kemperle Kumuniezh;Quimperlé Communauté;Kemperle;Quimperlé;35;56;43;0;134
29230;29;Bro Gerne;Pays de Cornouaille;Kemperle Kumuniezh;Quimperlé Communauté;Kerien;Querrien;19;19;0;0;38
29030;29;Bro Montroulez;Pays de Morlaix;Gorre-Leon Kumuniezh;CC Haut-Léon Communauté;Kleder;Cléder;32;39;15;0;86
29031;29;Bro Gerne;Pays de Cornouaille;Kemperle Kumuniezh;Quimperlé Communauté;Kloar-Karnoed;Clohars-Carnoët;16;23;0;0;39
29038;29;Bro Montroulez;Pays de Morlaix;KK bro Landivizio;CC du Pays de Landivisiau;Kommanna;Commana;13;21;0;0;34
29039;29;Bro Gerne;Pays de Cornouaille;Konk-Kerne Tolpad-kêrioù;Concarneau Cornouaille Agglomération;Konk-Kerne;Concarneau;50;55;0;0;105
29041;29;Bro Kornôg-Kreiz-Breizh;Pays du Centre-Ouest-Bretagne;KK Kerne-Uhel;CC de Haute Cornouaille;Kore;Coray;20;14;0;0;34
29042;29;Bro Brest;Pays de Brest;KK Gourenez Kraozon-Arvor ar Stêr-Aon;CC Presqu'île de Crozon-Aulne Maritime;Kraozon;Crozon;54;10;0;0;64
29103;29;Bro Brest;Pays de Brest;KTK bro Landerne Daoulaz;CA du Pays de Landerneau Daoulas;Landerne;Landerneau;106;178;80;59;423
29105;29;Bro Montroulez;Pays de Morlaix;KK bro Landivizio;CC du Pays de Landivisiau;Landivizio;Landivisiau;36;38;18;0;92
29113;29;Bro Montroulez;Pays de Morlaix;Montroulez Kumuniezh;Morlaix Communauté;Lanneur;Lanmeur;21;43;29;0;93
29117;29;Bro Brest;Pays de Brest;KK bro an Aberioù;CC du Pays des Abers;Lanniliz;Lannilis;70;108;90;0;268
29124;29;Bro Brest;Pays de Brest;Kumuniezh Lesneven Aod ar Mojennoù;Communauté Lesneven Côte des Légendes;Lesneven;Lesneven;47;88;26;17;178
29141;29;Bro Kornôg-Kreiz-Breizh;Pays du Centre-Ouest-Bretagne;Menez Are Kumuniezh;Monts d'Arrée Communauté;Lokeored;Loqueffret;16;10;0;0;26
29130;29;Bro Brest;Pays de Brest;KK bro an Hirwazh;CC du Pays d'Iroise;Lokmaria-Plouzane;Locmaria-Plouzané;24;32;0;0;56
29260;29;Bro Brest;Pays de Brest;KK bro an Hirwazh;CC du Pays d'Iroise;Lokournan;Saint-Renan;50;75;81;0;206
29140;29;Bro Brest;Pays de Brest;KTK bro Landerne Daoulaz;CA du Pays de Landerneau Daoulas;Loperc'hed;Loperhet;26;95;0;0;121
29076;29;Bro Brest;Pays de Brest;KK bro an Hirwazh;CC du Pays d'Iroise;Milizag-Gwiproñvel;Milizac-Guipronvel;40;75;0;0;115
29150;29;Bro Gerne;Pays de Cornouaille;Kemperle Kumuniezh;Quimperlé Communauté;Molan;Moëlan-sur-Mer;19;28;0;0;47
29151;29;Bro Montroulez;Pays de Morlaix;Montroulez Kumuniezh;Morlaix Communauté;Montroulez;Morlaix;67;66;0;17;150
29160;29;Bro Brest;Pays de Brest;KK bro an Aberioù;CC du Pays des Abers;Plabenneg;Plabennec;47;86;26;0;159
29162;29;Bro Brest;Pays de Brest;KK Pleiben-Kastellin-Porzhe;CC Pleyben-Châteaulin-Porzay;Pleiben;Pleyben;17;13;0;0;30
29163;29;Bro Montroulez;Pays de Morlaix;Montroulez Kumuniezh;Morlaix Communauté;Pleiber-Krist;Pleyber-Christ;12;24;0;0;36
29167;29;Bro Gerne;Pays de Cornouaille;KK gorre ar Vro Vigoudenn;CC du Haut Pays Bigouden;Plogastell-Sant-Jermen;Plogastel-Saint-Germain;14;9;0;0;23
29169;29;Bro Gerne;Pays de Cornouaille;Kemper Breizh-Izel;Quimper Bretagne Occidentale;Plogoneg;Plogonnec;12;0;0;0;12
29174;29;Bro Gerne;Pays de Cornouaille;KK gorre ar Vro Vigoudenn;CC du Haut Pays Bigouden;Ploneour-Lanwern;Plonéour-Lanvern;33;31;0;0;64
29177;29;Bro Brest;Pays de Brest;KK bro an Hirwazh;CC du Pays d'Iroise;Plouarzhel;Plouarzel;40;45;0;0;85
29181;29;Bro Brest;Pays de Brest;KTK bro Landerne Daoulaz;CA du Pays de Landerneau Daoulas;Plouedern;Plouedern;14;20;0;0;34
29185;29;Bro Montroulez;Pays de Morlaix;Gorre-Leon Kumuniezh;CC Haut-Léon Communauté;Ploueskad;Plouescat;8;17;0;0;25
29188;29;Bro Montroulez;Pays de Morlaix;Montroulez Kumuniezh;Morlaix Communauté;Plouganoù;Plougasnou;13;8;0;0;21
29189;29;Bro Brest;Pays de Brest;Brest Meurgêr;Brest Métropole;Plougastell-Daoulaz;Plougastel-Daoulas;186;217;141;0;544
29195;29;Bro Brest;Pays de Brest;KK bro an Aberioù;CC du Pays des Abers;Plougerne;Plouguerneau;57;80;0;0;137
29190;29;Bro Brest;Pays de Brest;KK bro an Hirwazh;CC du Pays d'Iroise;Plougonvelen;Plougonvelin;13;37;0;0;50
29202;29;Bro Montroulez;Pays de Morlaix;Montroulez Kumuniezh;Morlaix Communauté;Plouneour-Menez;Plounéour-Ménez;19;34;50;0;103
29207;29;Bro Montroulez;Pays de Morlaix;Montroulez Kumuniezh;Morlaix Communauté;Plourin-Montroulez;Plourin-lès-Morlaix;11;17;0;0;28
29210;29;Bro Montroulez;Pays de Morlaix;KK bro Landivizio;CC du Pays de Landivisiau;Plouvorn;Plouvorn ;17;37;0;0;54
29212;29;Bro Brest;Pays de Brest;Brest Meurgêr;Brest Métropole;Plouzane;Plouzané;50;80;55;0;185
29180;29;Bro Brest;Pays de Brest;KTK bro Landerne Daoulaz;CA du Pays de Landerneau Daoulas;Plouziri;Ploudiry;16;14;0;0;30
29170;29;Bro Gerne;Pays de Cornouaille;Kemper Breizh-Izel;Quimper Bretagne Occidentale;Ploveilh;Plomelin;19;30;0;0;49
29171;29;Bro Gerne;Pays de Cornouaille;KK su ar Vro Vigoudenn;CC du Pays Bigouden Sud;Ploveur;Plomeur;24;46;0;0;70
29215;29;Bro Gerne;Pays de Cornouaille;KK gorre ar Vro Vigoudenn;CC du Haut Pays Bigouden;Plozeved;Plozévet;13;12;0;0;25
29216;29;Bro Gerne;Pays de Cornouaille;Kemper Breizh-Izel;Quimper Bretagne Occidentale;Pluguen;Pluguffan;42;43;0;0;85
29161;29;Bro Gerne;Pays de Cornouaille;KK bro Fouenant;CC du Pays Fouesnantais;Pluwenn;Pleuven;18;18;0;0;36
29218;29;Bro Gerne;Pays de Cornouaille;KK bro ar C'hab - Beg ar Raz;CC Cap Sizun - Pointe du Raz;Pontekroaz;Pont-Croix;31;39;0;0;70
29220;29;Bro Gerne;Pays de Cornouaille;KK su ar Vro Vigoudenn;CC du Pays Bigouden Sud;Pont-'n-Abad;Pont-l'Abbé;40;10;0;0;50
29227;29;Bro Kornôg-Kreiz-Breizh;Pays du Centre-Ouest-Bretagne;Poc’hêr kumuniezh;Poher Communauté;Poullaouen;Poullaouen;13;9;0;0;22
29234;29;Bro Gerne;Pays de Cornouaille;Kemperle Kumuniezh;Quimperlé Communauté;Redene;Rédené;18;9;0;0;27
29235;29;Bro Brest;Pays de Brest;Brest Meurgêr;Brest Métropole;Releg-Kerhuon (ar);Relecq-Kerhuon (le);53;69;210;0;332
29237;29;Bro Brest;Pays de Brest;KTK bro Landerne Daoulaz;CA du Pays de Landerneau Daoulas;Roc'h-Morvan (ar);Roche-Maurice;20;29;0;0;49
29239;29;Bro Montroulez;Pays de Morlaix;Gorre-Leon Kumuniezh;CC Haut-Léon Communauté;Rosko;Roscoff;9;14;0;0;23
29241;29;Bro Gerne;Pays de Cornouaille;Konk-Kerne Tolpad-kêrioù;Concarneau Cornouaille Agglomération;Rosporden;Rosporden;16;18;18;0;52
29245;29;Bro Brest;Pays de Brest;KTK bro Landerne Daoulaz;CA du Pays de Landerneau Daoulas;Sant-Divi;Saint-Divy;20;21;0;0;41
29247;29;Bro Gerne;Pays de Cornouaille;KK bro Fouenant;CC du Pays Fouesnantais;Sant-Evarzeg;Saint-Evarzec;0;0;0;0;0
29254;29;Bro Montroulez;Pays de Morlaix;Montroulez Kumuniezh;Morlaix Communauté;Sant-Martin-war-ar-Maez;Saint-Martin-des-Champs;13;29;23;0;65
29261;29;Bro Kornôg-Kreiz-Breizh;Pays du Centre-Ouest-Bretagne;Menez Are Kumuniezh;Monts d'Arrée Communauté;Sant-Riwal;Saint-Rivoal;8;16;0;0;24
29266;29;Bro Montroulez;Pays de Morlaix;Montroulez Kumuniezh;Morlaix Communauté;Sant-Tegoneg-Logeginer;Saint-Thégonnec-Loc-Éguiner;20;46;0;0;66
29277;29;Bro Montroulez;Pays de Morlaix;KK bro Landivizio;CC du Pays de Landivisiau;Sizun;Sizun;31;43;26;0;100
29274;29;Bro Gerne;Pays de Cornouaille;Kemperle Kumuniezh;Quimperlé Communauté;Skaer;Scaër;19;25;0;0;44
29279;29;Bro Montroulez;Pays de Morlaix;Montroulez Kumuniezh;Morlaix Communauté;Taole;Taulé;3;14;0;0;17
29280;29;Bro Brest;Pays de Brest;KK Gourenez Kraozon-Arvor ar Stêr-Aon;CC Presqu'île de Crozon-Aulne Maritime;Terrug;Telgruc-sur-Mer;14;0;0;0;14
29293;29;Bro Gerne;Pays de Cornouaille;Konk-Kerne Tolpad-kêrioù;Concarneau Cornouaille Agglomération;Tregon;Trégunc;30;38;0;0;68
29297;29;Bro Gerne;Pays de Cornouaille;Kemperle Kumuniezh;Quimperlé Communauté;Tremeven;Tréméven;29;37;0;0;66
35208;35;Bro Roazhon;Pays de Rennes;Roazhon Meurgêr;Rennes Métropole;An Heizeg;Orgères;38;20;0;0;58
35006;35;Bro Gwitreg;Pays de Vitré;Gwitreg Kumuniezh;Vitré Communauté;Argantred-ar-Genkiz;Argentré-du-Plessis;18;17;0;0;35
35031;35;Bro Roazhon;Pays de Rennes;Liverieg-Hiliber Kumuniezh;Liffré-Cormier Communauté;Beuzid-ar-C'hoadoù;Bouëxière;50;71;10;0;131
35047;35;Bro Roazhon;Pays de Rennes;Roazhon Meurgêr;Rennes Métropole;Bruz;Bruz ;42;74;28;0;144
35093;35;Bro Sant-Maloù;Pays de Saint-Malo;KK Aod an Emrodez;CC de la Côte d'Emeraude;Dinarzh;Dinard;20;32;0;0;52
35115;35;Bro Felger;Pays de Fougères;Felger Tolpad-kêrioù;Fougères Agglomération;Felger;Fougères;8;13;0;0;21
35123;35;Bro Traoñiennoù ar Gwilen;Pays des Valons de Vilaine;Traoñiennoù Breizh-Uhel Kumuniezh;Vallons de Haute-Bretagne Communauté;Goven;Goven;6;31;0;0;37
35125;35;Bro Gwitreg;Pays de Vitré;Gwitreg Kumuniezh;Vitré Communauté;Gwerc'h-Breizh;Guerche-de-Bretagne;12;14;0;0;26
35352;35;Bro Roazhon;Pays de Rennes;Roazhon Meurgêr;Rennes Métropole;Gwern-ar-Sec'h;Vern-sur-Seiche;16;15;0;0;31
35128;35;Bro Roazhon;Pays de Rennes;KK Traoñ an Il-Elvinieg;CC du Val d'Ille-Aubigné;Gwipedel;Guipel;11;19;0;0;30
35360;35;Bro Gwitreg;Pays de Vitré;Gwitreg Kumuniezh;Vitré Communauté;Gwitreg;Vitré;29;46;0;0;75
35068;35;Bro Gwitreg;Pays de Vitré;Gwitreg Kumuniezh;Vitré Communauté;Kastell-Bourc'h;Châteaubourg;23;33;0;0;56
35152;35;Bro Roazhon;Pays de Rennes;Liverieg-Hiliber Kumuniezh;Liffré-Cormier Communauté;Liverieg;Liffré;48;54;27;0;129
35294;35;Bro Redon;Pays de Redon;KK bro Redon;CC du Pays de Redon;Lokmaria-Redon;Sainte-Marie;10;18;0;0;28
35308;35;Bro Sant-Maloù;Pays de Saint-Malo;KK Breizh ar Romantourien;CC Bretagne Romantique;Mesnil-Roc'h;Mesnil-Roc'h;11;6;0;0;17
35188;35;Bro Breselien;Pays de Brocéliande;Moñforzh Kumuniezh;Montfort Communauté;Moñforzh;Montfort-sur-Meu;31;22;0;0;53
35196;35;Bro Roazhon;Pays de Rennes;Roazhon Meurgêr;Rennes Métropole;Morzhell;Mordelles;32;29;0;0;61
35228;35;Bro Sant-Maloù;Pays de Saint-Malo;KK Aod an Emrodez;CC de la Côte d'Emeraude;Pleurestud;Pleurtuit;9;11;0;0;20
35227;35;Bro Breselien;Pays de Brocéliande;Moñforzh Kumuniezh;Montfort Communauté;Pleveleg;Pleumeleuc;14;35;0;0;49
35236;35;Bro Redon;Pays de Redon;KK bro Redon;CC du Pays de Redon;Redon;Redon;54;68;16;0;138
35238;35;Bro Roazhon;Pays de Rennes;Roazhon Meurgêr;Rennes Métropole;Roazhon;Rennes;401;456;118;37;1012
35281;35;Bro Roazhon;Pays de Rennes;Roazhon Meurgêr;Rennes Métropole;Sant-Jakez-al-Lann;Saint-Jacques-de-la-Lande;34;11;0;0;45
35288;35;Bro Sant-Maloù;Pays de Saint-Malo;Sant-Maloù Tolpad-kêrioù;Saint Malo Agglomération;Sant-Maloù;Saint-Malo;18;23;0;0;41
35334;35;Bro Roazhon;Pays de Rennes;Roazhon Meurgêr;Rennes Métropole;Torigneg-Fouilharzh;Thorigné-Fouillard;22;8;0;0;30
35168;35;Bro Traoñiennoù ar Gwilen;Pays des Valons de Vilaine;Traoñiennoù Breizh-Uhel Kumuniezh;Vallons de Haute-Bretagne Communauté;Traoñ-Anast;Val-d'Anast;18;32;0;0;50
44015;44;Bro Kreiz Liger-Atlantel;Pays de Loire-Atlantique Centre;KK bro Blaen;CC de la Région de Blain;Blaen;Blain;16;28;0;0;44
44069;44;Bro-Wenn hag ar Briver;Pays-Blanc et Brière;KTK Kab-Atlantel;CA Cap-Atlantique;Gwenrann;Guérande;18;15;0;0;33
44109;44;Bro Naoned;Pays de Nantes;Naoned Meurgêr;Nantes Métropole;Naoned;Nantes;302;223;8;0;533
44154;44;Bro Raez;Pays de Retz;KK Su an Aber;CC du Sud Estuaire;Sant-Brewenn;Saint-Brévin-les-Pins;8;4;0;0;12
44162;44;Bro Naoned;Pays de Nantes;Naoned Meurgêr;Nantes Métropole;Sant-Ervlan;Saint-Herblain;127;123;75;0;325
44184;44;Bro-Wenn hag ar Briver;Pays-Blanc et Brière;KTK bro Sant-Nazer hag an Aber;CA de la Région Nazairienne et de l'Estuaire;Sant-Nazer;Saint-Nazaire;30;37;0;0;67
56001;56;Bro Redon;Pays de Redon;KK bro Redon;CC du Pays de Redon;Alaer;Allaire;12;15;0;0;27
56007;56;Bro an Alre;Pays d'Auray;An Alre Kiberen Douar Atlantel;Auray Quiberon Terre Atlantique;Alre (an);Auray;79;92;0;0;171
56259;56;Bro Kêr-Wened;Pays de Vannes;Mor Bihan - Gwened tolpad-kêrioù;Golfe du Morbihan - Vannes agglomération;An Drinded-Surzhur;La Trinité-Surzur;13;0;0;0;13
56010;56;Bro Pondi;Pays de Pontivy;Baod Kumuniezh ;Baud Communauté;Baod;Baud;35;52;5;0;92
56017;56;Bro Pondi;Pays de Pontivy;Kreiz ar Mor-Bihan Kumuniezh;Centre Morbihan Communauté;Begnen;Bignan;7;10;0;0;17
56023;56;Bro an Alre;Pays d'Auray;An Alre Kiberen Douar Atlantel;Auray Quiberon Terre Atlantique;Brec'h;Brec'h;20;35;20;0;75
56057;56;Bro Kornôg-Kreiz-Breizh;Pays du Centre-Ouest-Bretagne;Roue Morvan Kumuniezh;Roi Morvan Communauté;Faoued (ar);Faouët;27;14;0;0;41
56066;56;Bro Kornôg-Kreiz-Breizh;Pays du Centre-Ouest-Bretagne;Roue Morvan Kumuniezh;Roi Morvan Communauté;Gourin;Gourin;19;24;0;0;43
56067;56;Bro Kêr-Wened;Pays de Vannes;Mor Bihan - Gwened tolpad-kêrioù;Golfe du Morbihan - Vannes agglomération;Gregam;Grand-Champ;20;59;13;0;92
56070;56;Bro Ploermael;Pays de Ploërmel;Ploermael Kumuniezh;Ploërmel Communauté;Gwegon;Guégon;19;24;0;0;43
