Région;Bibliothèque;Librairie;Monument;Papeterie et maisons de la presse
Bretagne;20.179618768328446;4.930351906158357;60.02565982404692;5.810117302052785
Nouvelle-Aquitaine;18.521236583799652;3.596000366938813;60.12292450233924;6.999357857077332
